product_id,product_name,price,description,image_url,product_url,category
CRB-AERO-001,Carbon Road Bike - Aero Elite,2499.99,"Lightweight carbon frame road bike with aerodynamic design, perfect for racing and long rides",https://velo-production-app-20f99a3f8353.herokuapp.com/images/carbon-road-bike-aero-elite.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/1,Road Bikes
GVL-ATB-002,All-Terrain Gravel Bike,1899.99,Versatile gravel bike designed for mixed terrain adventures and bikepacking,https://velo-production-app-20f99a3f8353.herokuapp.com/images/all-terrain-gravel-bike.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/2,Gravel Bikes
MTB-FS-003,Full Suspension Mountain Bike,3299.99,High-performance mountain bike with full suspension for extreme trail riding,https://velo-production-app-20f99a3f8353.herokuapp.com/images/full-suspension-mountain-bike.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/3,Mountain Bikes
GRV-105-GRV,Gravel 105 Groupset,599.99,Complete Gravel 105 11-speed drivetrain groupset for road bikes,https://velo-production-app-20f99a3f8353.herokuapp.com/images/gravel-105-groupset.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/4,Components
SRB-ENT-005,Steel Entry Road Bike,899.99,"Classic steel frame road bike, perfect for beginners and commuting",https://velo-production-app-20f99a3f8353.herokuapp.com/images/steel-entry-road-bike.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/5,Road Bikes
FRK-CHR-700,Chromoly Fork - 700c,189.99,Durable chromoly steel fork with disc brake mounts for touring and gravel bikes,https://velo-production-app-20f99a3f8353.herokuapp.com/images/chromoly-fork-700c.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/6,Components
MTB-HT-007,Hardtail Mountain Bike,1299.99,Lightweight aluminum hardtail perfect for XC racing and trail riding,https://velo-production-app-20f99a3f8353.herokuapp.com/images/hardtail-mountain-bike.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/7,Mountain Bikes
CAP-VTG-008,Vintage Cycling Cap,24.99,Classic cotton cycling cap with retro team colors,https://velo-production-app-20f99a3f8353.herokuapp.com/images/vintage-cycling-cap.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/8,Accessories
GVL-ADV-009,Adventure Gravel Bike,2199.99,Steel frame gravel bike built for long-distance touring and bikepacking,https://velo-production-app-20f99a3f8353.herokuapp.com/images/adventure-gravel-bike.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/9,Gravel Bikes
BTL-INS-010,Insulated Water Bottle,19.99,Double-wall insulated cycling water bottle keeps drinks cold for hours,https://velo-production-app-20f99a3f8353.herokuapp.com/images/insulated-water-bottle.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/10,Accessories
GRV-XT-GRV,Gravel Feore XT Components,449.99,Mountain bike drivetrain components with reliable 12-speed performance,https://velo-production-app-20f99a3f8353.herokuapp.com/images/gravel-feore-xt-components.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/11,Components
JER-PRO-012,Professional Cycling Jersey,89.99,Moisture-wicking cycling jersey with aerodynamic fit and reflective details,https://velo-production-app-20f99a3f8353.herokuapp.com/images/professional-cycling-jersey.png,https://velo-production-app-20f99a3f8353.herokuapp.com/product/12,Accessories
